K_Receipt,K_Member,Quantity,Q_Amount,Q_Discount_Amount,T_Receipt
205d7052a6505124d200f6fea6b423bc,83e7958a94bd7f74a9414d8782f87628,1,9.9,,2017-01-05 13:59:30
8a784d47854e4cbc5562362393d504db,12f5d6e1cbf93dafd9dcc19095df0b3d,1,9.9,,2017-01-05 14:18:03
9b91ddcbd6cbceb83d4fd2462ca1f95e,12f5d6e1cbf93dafd9dcc19095df0b3d,1,10.9,,2017-01-05 14:22:02
ca5a215980675471f0cf8199c041909a,12f5d6e1cbf93dafd9dcc19095df0b3d,1,10.9,,2017-01-05 14:23:54
d82cef48824870df9946d57e827ed727,f7be9bec658c62ab6240b44cd26c0b84,1,10.9,,2017-01-05 14:33:39
17fed53ba6dfef9b594ee2268642e2aa,12f5d6e1cbf93dafd9dcc19095df0b3d,1,9.9,,2017-01-05 14:50:54
464de32dc84484c1d26df3e8e38e708b,12f5d6e1cbf93dafd9dcc19095df0b3d,1,6.9,,2017-01-05 15:25:04
747996a66f5aa711deb8ae58f5ae46a0,12f5d6e1cbf93dafd9dcc19095df0b3d,1,9.9,,2017-01-05 15:25:10
195416246665b8268100ef5fde9722b4,7d08a8005756c215935d45bcc0e9a760,1,129.9,,2017-01-08 19:27:22
46936461f0c4e3c80b9289ce5fc1682a,7d08a8005756c215935d45bcc0e9a760,1,129.9,,2017-01-08 19:27:22
753aaaa715f963740a358c291bc79727,24072811917876a84c81166f96aed0c1,1,129.0,,2017-01-11 23:32:55
df410b19c3e348fb548ae68badd49827,b0bc6de4a99007470bbdbbf5cc502ea9,1,24.9,,2017-01-14 23:05:01
ed2ea4498bcd56d90d461a23fa47ac56,b0bc6de4a99007470bbdbbf5cc502ea9,1,29.9,,2017-01-14 23:05:01
d8d04eeca6703f5545f4c25b8ace1ee9,3e5306add1209e5ba184092dd1587282,1,38.9,,2017-01-15 10:14:31
b6e5aa946acc4e29e7069510f28a0bce,35e146c985a9cf989c91edb4c0c156fa,1,149.9,,2017-01-15 17:58:42
f77dc5ef53142abf2e1734622d81f664,35e146c985a9cf989c91edb4c0c156fa,1,149.9,,2017-01-15 17:58:43
e068276f5e75a66212f75b84ebfeaccf,ed05a1bbf9f8816af23fcc68084bb87d,1,45.9,,2017-01-16 13:17:46
abef8b5d0f7fa066c7473db7d650c870,ed05a1bbf9f8816af23fcc68084bb87d,4,399.6,,2017-01-16 13:17:46
9c54a1816e487456bb7eb5082b9823ff,1d2435aa3b858d45c707c9fc25e18779,1,68.9,,2017-01-17 14:23:54
91750e4d3d89e619cd557a6da400be06,1d2435aa3b858d45c707c9fc25e18779,1,45.9,,2017-01-17 14:23:56
b8297ee8722ce94cc9a2e9263124cd36,65ab3020e6a929e4e9a4b61e643da832,1,24.9,,2017-01-18 00:31:51
2511cdf205337513507a1863f0098d39,d8f3c4f441a9b59a29f977df16724f38,3,74.69999999999999,,2017-01-18 21:08:18
7b4fb0197b18a0fd0e75f9e44b3fc757,967ee07cb69460a7e1d42c7747142572,1,99.0,,2017-01-18 23:15:29
5d6e9993ecc20a59e637ce711858d081,da5bbfd583efb762f6fda762f1aaf4a9,1,29.5,,2017-01-19 11:26:57
bcb093f60b7e48f285bf92f681e65651,d2f38262a9f66d15aa9fc2b60ea873d9,1,89.9,,2017-01-19 13:06:45
e75011be2ec3dec23d2ed6757d35c792,e30b83af13d6ff0b0f427b2a67c43b39,3,433.5,,2017-01-19 14:38:27
0675116b5556a78cf0413f70aa9f235e,2d7a88002fb4c6073fbef4f59707a0e0,1,79.9,,2017-01-19 15:21:44
6e4a67f3a94e46e6cc5af48093d14127,2d7a88002fb4c6073fbef4f59707a0e0,1,149.9,,2017-01-19 15:21:44
90bf0d006edb962cf09943bf3e4ad217,325e19085f3017b73be3d9fd98a93301,1,49.0,,2017-01-19 17:17:28
abfb34ed11820c7247adfb30fe5bb7ae,5e0aa142dc4760e62a74c1830cbf91b1,1,349.9,,2017-01-20 00:25:39
72c6b41818d5e645f455986b59b7a964,b824f6981f2ee1c30533c4138572428c,1,115.9,,2017-01-20 10:58:23
f88aa9b677553d2e3f0e77b495066619,acf91aaa6f337456d3c506a5a494552c,1,45.89,,2017-01-20 14:56:31
6bc6b07e448bae52d248c4df401d6157,69aab61687fa416ef601af332bd0ff0d,1,39.9,,2017-01-20 19:44:07
e09dd765041e9934d762d51ccb26adee,a5d3bfee5b23b430b95c4ae295e1028a,6,59.400000000000006,,2017-01-21 06:58:31
2a3d67c0d2045bf67abb3d8f320ac29f,f801278dc42ce9d4773cb91ad0e21ab8,1,66.9,,2017-01-21 18:17:14
de05dd73ee1b5a964eaa56f814c49851,f801278dc42ce9d4773cb91ad0e21ab8,1,19.9,,2017-01-21 18:17:15
e660da13091dbe48784500c1c3e2fb75,28989ef45087c96e5a4346e88216c2ba,1,219.9,,2017-01-21 19:46:22
c3ad507aba1f6b47354085e7e6bed0cf,28989ef45087c96e5a4346e88216c2ba,3,369.7000000000001,,2017-01-21 19:46:23
ab0c90a5da04e0132ea07c113bedec0d,40f4b191d404a10a6039af0b26dd62c7,1,50.9,,2017-01-21 20:53:06
2e22dc2fce65e5b9d73a11d717f41724,40f4b191d404a10a6039af0b26dd62c7,1,54.99,,2017-01-21 20:53:19
e38f9946fb20db4a597eed7547c59afc,bc2387c48428a2e128eaa3d5b18b3591,1,49.9,,2017-01-22 13:49:37
51ceba3ba51d4b4543e7f78e181e0ba9,a5d3bfee5b23b430b95c4ae295e1028a,5,49.5,,2017-01-23 13:31:26
8aa9f9fb8d016c8abd90a65dcd7f2ab6,d059a0ec4c911c7abb10602099670325,1,20.0,,2017-01-24 21:16:24
e01e0edd184fa69973f66cfc1fde15b3,523730e4b2ef7654c243699b81763112,1,149.9,,2017-01-24 21:16:50
56a726fa0f40d3678696e62aaed9690d,fc19fe9ac733e36ff8227c29435c2030,1,49.9,,2017-01-25 00:46:17
0c995611a99f81268d859184a416f1db,c40388c86f0334d1d69f33fc43322a8c,1,110.0,,2017-01-26 00:20:22
55b2e390d5d80ada31ad1b795ebeb087,c40388c86f0334d1d69f33fc43322a8c,2,89.8,,2017-01-26 00:20:23
df56136b8031ecd28e200bb18e6ddb2e,2e43e031f10de28e557c35ef668f9396,3,154.72,,2017-01-26 13:15:41
8557dabbdacec1a9e250f5e70afe1eab,2e43e031f10de28e557c35ef668f9396,1,44.6,,2017-01-26 13:15:41
566f53fc7d36fa366f7e221468121877,2e43e031f10de28e557c35ef668f9396,1,69.9,,2017-01-26 13:15:42
1bf6db71e147c950fe9925e0be89ec4b,60e6fe581610db699ac03fec61f4d53f,1,65.0,,2017-01-26 15:37:27
bfbf87cc2829df6adac299ab0cc012bc,e1b59a2032b34097d0c1c8d320f40832,1,229.9,,2017-01-26 21:58:21
a8305d2dfd60042d6000b3de3bc533a3,18bc87094128bbfe943cf88adcf72059,1,60.0,,2017-01-26 23:48:56
55090b3dd39aed5a2019b57cce6b174d,7588c20c457369de8caad958afc1cc06,1,99.9,,2017-01-27 09:33:01
b866af202be0692766081310cd4085e1,64fbafb2935c7a2588d6a26a9d750487,2,188.65,,2017-01-27 14:59:17
281a4e1ef3ab9d256027ddd2db90c762,64fbafb2935c7a2588d6a26a9d750487,1,449.99,,2017-01-27 14:59:18
0c8675dc2e52ab52977a76d810e45303,9d31457a03125fc870787a251760315a,1,89.9,,2017-01-28 15:55:11
a15df161654da3f47c2984ffd7764920,3af90f255e824d1d53b3584a4e89ad58,2,60.0,,2017-01-28 18:30:17
765e82006189100419015233bf26be8a,976a39626eb2337ee3258d4ad73f1543,1,9.99,,2017-01-28 19:50:15
7090c88db4158f89d839c794cdd73272,a7bbfaf8a288c45dc38d4693535dd63f,1,64.9,,2017-01-29 10:03:54
f85e82f7a3b6d26dc7d16b7c2c39b31a,10b58cbd6607267fd41812614367439e,1,239.9,,2017-01-29 17:44:07
1a4bf675df415785d3d9b3f3521988a7,a327e19095ffb086d25f7ee477c9d3c6,1,69.9,,2017-01-29 18:19:02
91c52e15672343c61768b4d10597eea8,a327e19095ffb086d25f7ee477c9d3c6,1,69.9,,2017-01-29 18:35:23
9725a1c59138f30c5dba936ca3a2de34,323f8f14acb90e50f86f1885b6b53c6d,1,89.99,,2017-01-30 14:19:22
5836a9fd173a29689e12bf421d2d280b,323f8f14acb90e50f86f1885b6b53c6d,2,153.8,,2017-01-30 14:19:23
4e1d5bf07ad851a6470d6b28cfd1f1e6,580561d937f063a0c4ffe1e4832df2f5,1,20.9,,2017-01-30 18:19:23
6f7390ae95a89ea985e0d81b189e96d5,fccfbf734a92029859c4fe58eff05114,1,279.99,,2017-01-30 20:52:02
58fc974f8e0ddd9ce549e3272d0140c0,c76762dfb642ac154475239639f7f8f4,1,46.22,,2017-01-30 23:40:39
984b006a1482a4e7916421a663b1e800,c76762dfb642ac154475239639f7f8f4,1,103.99,,2017-01-30 23:40:40
adbbe31eab3ec8799e71b8fd89956464,325e19085f3017b73be3d9fd98a93301,1,49.0,,2017-01-31 12:01:46
8220769da5e88eb4288d26cc8f694b41,5bc94b60050224af3dfdd2377c7e93e6,1,130.83,,2017-01-31 13:41:55
2194d1dc5f73fad748d7a90fd673291d,5bc94b60050224af3dfdd2377c7e93e6,1,62.9,,2017-01-31 13:41:56
84705956de681a2d1420bd90d7667472,408aee96c75632a92e5079eee61da399,1,349.99,,2017-01-31 14:38:27
f6089c47bab18faae3d90c64cfb08481,92b0705c6923fe44dd71b2b737687a7c,1,109.99,,2017-01-31 16:13:48
072e34b42ad90d7472e9a798f19a6bdb,92b0705c6923fe44dd71b2b737687a7c,1,69.9,,2017-01-31 16:13:48
9abb2627b40ff1591e62553894e6b312,69e4074cb5368c1539397e4ea570757a,1,109.9,,2017-01-31 17:31:36
8a027244dea2edca1449d9150e74eb45,5c82413b70d65c90e4f9e465c303fc82,2,97.6,,2017-01-31 17:57:18
0e659173ebf2a1d39e076be9bd0b2872,13aec51202205c662b24202760e93a92,1,35.0,,2017-02-01 08:42:43
34605af753e44da907f983de0082faaf,13aec51202205c662b24202760e93a92,1,29.9,,2017-02-01 08:42:45
87d43116721d5ee0c0748fd7d393cc9d,a5c806ebe5b25d0ab1e7f0da0e17d6bc,1,109.99,,2017-02-01 22:31:12
b6659c7944e48c1be78a188b4d51dbeb,57a00f215e83a19190f6a5dded389806,1,24.0,,2017-02-01 23:33:26
87f48ad03a575830fd30137520ef411b,57a00f215e83a19190f6a5dded389806,1,94.99,,2017-02-01 23:33:27
6199bf17a85a73b61d5e43a596b95b5b,1f2c5059dad2c277b3b338163b49ca73,1,119.97,,2017-02-02 18:59:30
ef7e4d318e5714c1e8e07e97c981ce36,771f344c1ac13d8ccdf2d14c48e2c6c3,1,39.8,,2017-02-03 00:55:38
726714fe5c6124b8501feb36c5b89896,37cc3e75e39bb11d75a1982ac0d07c17,1,25.0,,2017-02-03 23:26:40
7b177fcb9ffb753496f019d4ca317479,75ff587e87e047a7e00f75bbcab17c00,1,159.0,,2017-02-04 07:58:07
f2e15e1de54cd372765716e6bbd61fa5,e5bdbd18812e42788e7cbad7058fc0ab,1,99.0,,2017-02-04 11:45:03
addf1e910072af631c49adca7b07fbdd,77479db0fa60ddc453f3743abc02be23,1,46.0,,2017-02-05 11:05:44
21862ad09cda6a079859cb1fb77d5da2,b643c19d91a65d73f94ba8e037668986,1,129.99,,2017-02-05 17:43:31
804f733828d8587c734a1d8fc5634e06,4bbaf6f7a10a7e26a8777aa5cb6d5864,2,229.8,,2017-02-05 18:47:44
aa3e939d90791cb80173b38e4faf79a1,d451891847b64bb4cf9a40e9cfe1c7a2,2,399.98,,2017-02-05 23:52:09
d708b88543d7c2b7c9eb0b31864c8ca1,d451891847b64bb4cf9a40e9cfe1c7a2,2,256.98,,2017-02-05 23:52:10
3f3e01f29d25bb2e62be81659113d44e,4658b26bcea972ed0b86a5f8c61718be,1,299.99,,2017-02-06 14:02:03
6fccc57f4270cc3628193bd168efc780,3f36fa15a16c4850992aa0f33561906e,1,87.99,,2017-02-06 14:54:29
033a79557b0d234035b38da3be948574,a239b8e2fbce33780f1f1912e2ee5275,1,35.0,,2017-02-06 14:56:20
3ee8494bb94ea023beadcd0783c9d8d7,a239b8e2fbce33780f1f1912e2ee5275,1,84.9,,2017-02-06 14:56:21
1972a123466d40a62224630f7d0de530,a239b8e2fbce33780f1f1912e2ee5275,1,129.9,,2017-02-06 17:06:53
e2d9d1ca77005d8626107e6d9da6ee63,6f65f19c2dcfcab8b76b2fafb5b840e1,1,155.0,,2017-02-06 22:54:50
9d7737b250ca12ae1e89ef38f2e5d213,0802a1a217680f13264a70ddb7220823,1,78.5,,2017-02-07 08:25:08
f21167a5141522821d54a766a2a54ce4,82809cee3c35eb89b4dd4d2d1a22eedf,1,44.99,,2017-02-07 12:47:52
7faec2979809e2590815b95ff2d7c3ca,6a5b2a807a2aca962c4badc649cb40b2,1,59.99,,2017-02-07 15:46:53
c5dd7d8ff84739ecc6526d97ee22f784,6a5b2a807a2aca962c4badc649cb40b2,1,59.99,,2017-02-07 15:46:54
e54493dea108e0cb48f3571e1249d418,09bc7afc3e8d8dccaffd0b16944a91fe,1,99.9,,2017-02-07 16:47:27
94a71bedec852e752e86d530d03d6061,216fd197a786370ce9601ee2f6b5a31a,1,20.9,,2017-02-07 18:31:57
7f14c64f7f48c0243c290e47dd51cfeb,216fd197a786370ce9601ee2f6b5a31a,1,20.9,,2017-02-07 18:31:58
ea8dfcfa112dd9df068022a643e58a22,a7bbfaf8a288c45dc38d4693535dd63f,1,29.9,,2017-02-07 19:06:47
3578f604ba267d1491f68d8f929dbf28,c51a1ea9fa9851c70f89d1178c861150,1,34.9,,2017-02-07 20:58:44
2deb17060fc1ce18a85eba953ddcdeaf,e78838df9c44e102b6ac84cc5eea7d5c,1,24.9,,2017-02-07 22:52:43
2f8f31eb2f7b6572836d662a6625c8e4,e78838df9c44e102b6ac84cc5eea7d5c,3,94.7,,2017-02-07 22:52:44
f3028a8f41ea1ee2b461420913663f97,e78838df9c44e102b6ac84cc5eea7d5c,1,28.0,,2017-02-07 22:52:44
2b2b7a9693cc4ebba06693c88e6989d4,0942eedfe0e865b2a80419a14672286f,1,149.9,,2017-02-08 07:47:47
18ef2a64141eab548a2c46df2545b1ee,9066d003674f53303ec2ac527e940a5d,1,10.0,,2017-02-08 14:41:53
b46902d53ee0054d077220fefa87e7d5,9bff551dd73fdb455a7c2ceb6bed2d39,1,63.36,,2017-02-08 15:53:07
b3e176098b9f9f6122d37fa3cb06279b,c76762dfb642ac154475239639f7f8f4,1,46.22,,2017-02-08 23:08:53
fc0973ba8c96e67e0cfb458c1bac3a6a,c658495c41a24ef33a852db6840738a1,1,24.99,,2017-02-09 10:51:03
0943d27820129d9446a32ca20cf9bee1,70f0fca2435f0fa72fe85699630791fc,2,96.0,,2017-02-09 11:01:14
661e075fa45fa4a73a79dd6972bce18b,70f0fca2435f0fa72fe85699630791fc,1,220.0,,2017-02-09 11:01:15
849eace12a4c38cc5d4647af9f942eff,8f6ce2295bdbec03cd50e34b4bd7ba0a,1,199.0,,2017-02-09 12:48:59
c920c9b4a0fbe334f146d3b9822f3cce,318b8659483e12e9cbe1e6550d97f9d9,1,309.9,,2017-02-09 12:53:13
c9a54f6ed83e951ec2cbec315d2333cd,87a7c3090f96d9da963125a0d7f8193a,1,176.99,,2017-02-09 14:00:53
188e8c3184383f5eee9e40255048191b,1fe11e8f0fa5bea7416ec09d6e8d2b4d,1,104.9,,2017-02-09 18:41:44
8c0819345572d0da947e64bfdf38e3d2,7cf08f01ab6a6a1365e1613989a65158,1,39.9,,2017-02-09 23:40:48
f8ff98a36706c66da3a3f060a0ec3141,dc450fdb03562a6d52752858f7855348,2,419.8,,2017-02-10 12:04:19
c9cf685a5970016a369f50c8f42e87b9,eac6dbc8ecd0a2f08ed8e53d18f0e0d0,1,50.9,,2017-02-10 16:11:04
a8b8b7289262a652bbc1c042766c97c8,fcd0ab79592faab19e2bf386cf69fbcd,1,29.9,,2017-02-10 23:23:35
b58c726e8f5ba3196c593b1837d25744,e23daf58ce481f3d38066e654ef610cb,1,35.0,,2017-02-13 15:54:42
cfcb1e7c684257721d28ca81c394714c,b56c60ed244eed72ff5640a41bf254d5,1,71.95,,2017-02-14 07:59:57
50be1d483c83bc791be7bad19a5b2cfe,730e4b7ede33b484516435d39ab4dc49,1,179.99,,2017-02-14 10:44:33
581805128c859d26d9ddea54faa05207,1d95a47c2206919e1de2f8ff91065d20,1,39.9,,2017-02-14 10:52:49
15324bb6dca4436f40c1c599fdc0da06,5f2a213343d506264f78cb82dd914434,1,195.0,,2017-02-14 15:39:32
ab2074b3788d9e68a23db714cbf70f9d,e2c483395f5aa739622936a3e826921d,1,219.9,,2017-02-14 18:12:11
e706d614326b76f48f24d82f86c0b2ed,e2c483395f5aa739622936a3e826921d,2,439.8,,2017-02-14 18:12:12
88a385737ede49900eeccbcd1d16fa00,7e7301841ddb4064c2f3a31e4c154932,1,99.9,,2017-02-15 12:56:00
a55b72ebbf51055b6c5b083edbf8bfa2,da2b78576894a7f95d45bfd20250cc54,1,39.9,,2017-02-15 14:37:36
3324e0b9570581be76b4559b10df4aba,752041fd42cbe3a4f4dea0d68a0a6edd,1,43.48,,2017-02-15 21:50:37
31db9cf54c43e0190666ce0c1a3d0e9a,c0fcb07a9959ae14f01bad208e445cc4,1,29.9,,2017-02-15 23:49:37
60b4bdf4f0d6dfa53d78a82a4fbd5a6a,d0b2f9c9f13d9048969517d02237b432,1,21.99,,2017-02-16 10:24:37
86da41fac2d3f448976995f9b78c335f,dc450fdb03562a6d52752858f7855348,1,47.0,,2017-02-16 14:56:07
036b2855a4c92b30f0bd1f3fc0f46e48,d7b4f3c9c89ba771ef099693c61d7085,1,48.9,,2017-02-16 15:56:11
f7096fe5a9e5f6419f1db02fbb378513,0802a1a217680f13264a70ddb7220823,1,78.5,,2017-02-17 10:48:38
87f41ac2bb62582fa23ddb02b79ef724,a239b8e2fbce33780f1f1912e2ee5275,1,149.9,,2017-02-17 15:15:26
5d6ca8d2f39c609dc330b731dc5777cb,a262442e3ab89611b44877c7aaf77468,1,20.9,,2017-02-17 18:27:58
4d9a297fbfa9ba6d8d70c06d4bec9ca9,c400a61d8b936f7d10930fc142a39407,1,97.9,,2017-02-18 14:36:48
c3ec5c70256966fe8951602e15e63495,c400a61d8b936f7d10930fc142a39407,1,97.9,,2017-02-18 14:36:49
50de76b6e07161441556b571d4e85248,c0779cfb3d6695eb9a6c14772852e10e,1,66.99,,2017-02-18 17:43:04
36995f50cacc28693fffcdb6af6cfedc,c0779cfb3d6695eb9a6c14772852e10e,1,66.99,,2017-02-18 17:47:36
d69e5d356402adc8cf17e08b5033acfb,2e0a2166aa23da2472c6a60c4af6f7a6,1,149.8,,2017-02-19 01:28:47
e12ba59fec6cde9a2cf1af5c0772185c,fd0e843308b676214ea30ea480295e3e,1,38.9,,2017-02-19 11:03:43
555537da82b73708bc09f6b0c8fa6747,fd0e843308b676214ea30ea480295e3e,1,15.75,,2017-02-19 11:03:43
9edcbab43a1784c6aa3737a7f2fb5dde,3e6658866cc636c1762c080ed56f44e6,1,6.9,,2017-02-19 16:20:02
4c16e2f2793eec4da8f68fd77b2a092a,4f011f45db425dcd3be79d4c11e9ad05,1,31.99,,2017-02-19 19:30:12
8a6d1317935fc8ba385da595dd3bf2be,bd0f8d6b6bc185debdf79f91ba30fdc6,1,110.0,,2017-02-20 09:28:19
ef71061bdf8dc442c060d4f0d8266a2d,1fe11e8f0fa5bea7416ec09d6e8d2b4d,1,189.9,,2017-02-20 16:17:04
b741ced31205b787eebdd0cc7f220b0a,30b782a79466007756f170cb5bd6bbd8,2,24.0,,2017-02-20 19:58:47
a8c92467b395f106cc93c91b6eb782e1,8f9f1a0464f6ab0e25650be9849b086d,1,174.9,,2017-02-20 21:57:03
2fccad1e95e778fa79931174307b0ed8,5735fac0e3e12fee0b0545828a977acd,1,100.0,,2017-02-21 13:45:39
4212c4acae39b267aabc4696d873cbcf,d0b2f9c9f13d9048969517d02237b432,1,21.99,,2017-02-21 14:25:22
d7d7c211bef169faf83515ce6e8294ea,0ea353565cdde00e1d8352a08290a352,1,199.9,,2017-02-21 16:40:07
fd216c435fda2be27c92920a5e5dba82,ff922bdd6bafcdf99cb90d7f39cea5b3,1,24.9,,2017-02-22 12:26:42
b75eb9360ab80bfd5c7ccf7270d447fb,477f7f182e8da105ba6713c0d5a24f15,1,217.36,,2017-02-22 15:32:48
c83dc126a7ee10b227493835cb8370e4,477f7f182e8da105ba6713c0d5a24f15,1,22.5,,2017-02-22 15:32:48
f96c24233b2160cbda61f76e59f81412,c9c6d353f4101827b3dbc83b093b2fe6,1,34.99,,2017-02-22 15:57:47
329aacec1c0231ed21bb1e2f8f4dc1e0,31d4b05ef830a7347b8f43640eb6511e,1,114.9,,2017-02-22 21:56:02
78cd965d0bc0388d390404eee6490c5b,31d4b05ef830a7347b8f43640eb6511e,1,169.9,,2017-02-22 21:56:03
f6de04d6952711ce456cf1a8d553d313,efb164704e9f4fc3867f6f59f5f6dbd6,1,19.17,,2017-02-23 11:37:20
97d8971fa48ff1a5146f0bab9124382c,526126c9f6a2a58d226b574d4d6c2278,3,209.7,,2017-02-23 15:32:20
3b1c5a036e0412d8c9dda3d6df67782a,526126c9f6a2a58d226b574d4d6c2278,1,188.99,,2017-02-23 15:32:21
0af96849112c968e7764ac7f17e4f9f7,e1cf735f320c9870c2046dbbc634fcec,1,39.99,,2017-02-23 16:55:51
171c622bc5e64b427c2708aac335fe6c,e1cf735f320c9870c2046dbbc634fcec,2,84.97999999999999,,2017-02-23 16:55:51
749b689efad761f8c94941fa3adfb702,1d95a47c2206919e1de2f8ff91065d20,1,39.9,,2017-02-24 11:49:05
084051935208c688c8cd5fae3d15810d,37cc3e75e39bb11d75a1982ac0d07c17,1,44.9,,2017-02-24 15:46:49
4cbf4f8f95033da28ecc48d007d1b49f,ece908ca0502def5dd56deca8a5c67d5,1,134.9,,2017-02-25 18:38:46
db7c883ba7581113260202fc55e73782,7ee9e6c80bf1b7ec4a52639eab6c128c,1,229.0,,2017-02-26 19:51:31
d1c90196444f5facb3a682e1a531abd7,79b9e9b310f3094c2cad708eb17508c2,1,19.99,,2017-02-27 15:16:24
d8627b28da69b163792bfd62ce10b6f4,5c82413b70d65c90e4f9e465c303fc82,1,48.8,,2017-02-28 22:22:48
450c49623c365a4edcf0c5a2c93aa7c9,e23daf58ce481f3d38066e654ef610cb,1,35.0,,2017-03-01 08:08:10
cb459c6af32347f6dd511553117bd080,bf6656ef50e6fd00e7517b01d615b4f3,1,78.75,,2017-03-01 09:56:20
96e46ea85cec2195f5ba671b9b319c81,bd0f8d6b6bc185debdf79f91ba30fdc6,1,110.0,,2017-03-01 10:08:34
09ba762d7b29d3771a788d7d039159fa,318b8659483e12e9cbe1e6550d97f9d9,1,289.9,,2017-03-01 12:54:25
273177c9b2d2eb2a68a77ee39e726b52,befed7f0bf7fc3d0262b0f95989a36ae,1,89.9,,2017-03-01 15:02:59
5df0b9dca1031d0b4abdf7b6f1f6e118,befed7f0bf7fc3d0262b0f95989a36ae,1,109.9,,2017-03-01 15:03:00
625f2a06b46e5cbf695ba96293f76721,cecc19ff12c206e6368dd1e9c22a848d,1,175.99,,2017-03-01 17:58:28
679d507dacd35ecf587d994177d06871,2dc7f51f05ba1b1a92608e45e55d1fe1,1,28.99,,2017-03-01 20:57:25
e95221b086979e4c09eff4fef472ef04,121b5a0ae9d09a2ca5e8090fd2a00a58,1,19.9,,2017-03-02 08:32:21
fb441bffe443e71cb16477c4743591e8,59d66d72939bc9497e19d89c61a96d5f,1,2600.0,,2017-03-02 12:13:18
e2dc8a03b3380b3a3fa8c7e175e97688,cfdaaa0caea59b06efb4b0fb8c700684,1,69.9,,2017-03-02 12:56:12
b11277967c91e971b81a787a51849320,336421b86cc4259a58106da261e0e000,2,196.6,,2017-03-02 15:22:55
671c1562854f03c1d68f6d48e1fa4c7d,91b4cc37bd28118ddabe8e7692c78f2e,1,59.5,,2017-03-03 08:32:31
