K_Delivery_Address,K_Member,Country,T_Start,T_End,City,Zip_Code
69,12413,Spain,2010-02-11 13:26:00,2011-06-01 16:12:00,,
70,12413,France,2011-06-01 16:12:00,,,
71,12414,Austria,2010-02-09 12:22:00,,,
72,12415,Australia,2010-06-30 08:30:00,,,
73,12416,Australia,2010-02-21 10:19:00,,,
74,12417,Belgium,2009-06-12 10:30:00,2010-01-10 08:39:00,,
75,12417,Spain,2010-01-10 08:39:00,2010-10-15 13:57:00,,
76,12417,Belgium,2010-10-15 13:57:00,2011-04-28 13:09:00,,
77,12417,Spain,2011-04-28 13:09:00,2011-05-06 15:46:00,,
78,12417,Belgium,2011-05-06 15:46:00,,,
79,12418,Switzerland,2010-03-19 14:47:00,,,
80,12419,Spain,2010-10-22 10:40:00,,,
81,12420,Cyprus,2011-07-10 08:55:00,,,
82,12421,Spain,2010-07-22 13:57:00,,,
83,12422,Australia,2009-12-18 12:44:00,2010-05-20 17:04:00,,
84,12422,Switzerland,2010-05-20 17:04:00,2010-10-10 14:14:00,,
85,12422,Australia,2010-10-10 14:14:00,2010-10-29 12:15:00,,
86,12422,Switzerland,2010-10-29 12:15:00,2011-01-19 09:13:00,,
87,12422,Australia,2011-01-19 09:13:00,2011-06-24 13:20:00,,
88,12422,Switzerland,2011-06-24 13:20:00,2011-05-09 09:48:00,,
89,12422,Australia,2011-05-09 09:48:00,,,
90,12423,Denmark,2010-08-31 09:31:00,2010-11-17 11:33:00,,
91,12423,Belgium,2010-11-17 11:33:00,,,
92,12424,Australia,2010-09-06 15:15:00,,,
93,12425,Portugal,2010-09-17 14:10:00,,,
94,12426,Germany,2010-02-15 08:41:00,,,
95,12427,Germany,2010-03-12 10:44:00,,,
96,12428,Finland,2011-01-03 09:33:00,,,
97,12429,Denmark,2010-11-06 13:28:00,2011-04-26 11:44:00,,
98,12429,Austria,2011-04-26 11:44:00,2011-06-20 12:14:00,,
99,12429,Denmark,2011-06-20 12:14:00,,,
100,12430,Norway,2011-10-27 15:09:00,,,
101,12431,Belgium,2010-01-15 09:04:00,2010-04-03 09:51:00,,
102,12431,Australia,2010-04-03 09:51:00,2010-07-19 13:55:00,,
103,12431,Belgium,2010-07-19 13:55:00,2010-08-17 10:29:00,,
104,12431,Australia,2010-08-17 10:29:00,2011-02-17 08:23:00,,
105,12431,Belgium,2011-02-17 08:23:00,2011-02-27 14:43:00,,
106,12431,Australia,2011-02-27 14:43:00,2011-10-10 14:49:00,,
107,12431,Belgium,2011-10-10 14:49:00,2011-04-11 11:55:00,,
108,12431,Australia,2011-04-11 11:55:00,,,
109,12432,Norway,2011-06-20 13:27:00,,,
110,12433,Norway,2010-08-20 09:23:00,,,
111,12434,Australia,2010-11-23 13:38:00,,,
112,12435,Denmark,2009-02-12 13:58:00,,,
113,12436,Norway,2011-01-09 12:09:00,,,
114,12437,France,2009-02-12 16:24:00,,,
115,12438,Norway,2011-07-22 13:29:00,,,
116,12439,Cyprus,2009-12-14 08:40:00,,,
117,12440,Austria,2009-12-22 12:03:00,,,
118,12441,France,2010-08-12 10:45:00,,,
119,12442,Spain,2011-06-12 14:22:00,,,
120,12443,Norway,2009-07-12 15:42:00,,,
121,12444,Norway,2011-06-21 14:00:00,,,
122,12445,Spain,2010-10-15 12:28:00,,,
123,12446,RSA,2011-10-13 12:50:00,,,
124,12447,Belgium,2011-10-04 13:25:00,,,
125,12448,Spain,2011-10-26 13:46:00,,,
126,12449,Denmark,2010-09-27 09:37:00,2011-05-06 15:37:00,,
127,12449,Belgium,2011-05-06 15:37:00,,,
128,12450,Spain,2010-08-22 13:11:00,,,
129,12451,Switzerland,2010-06-28 12:58:00,,,
130,12452,Switzerland,2011-11-23 08:05:00,,,
131,12453,Austria,2011-07-28 14:08:00,,,
132,12454,Spain,2010-10-14 17:33:00,,,
133,12455,Cyprus,2009-12-18 12:33:00,2011-03-06 11:33:00,,
134,12455,Spain,2011-03-06 11:33:00,,,
135,12456,Switzerland,2011-03-30 09:12:00,,,
136,12457,Switzerland,2010-09-30 17:59:00,2011-09-19 09:04:00,,
137,12457,Cyprus,2011-09-19 09:04:00,,,
138,12458,Switzerland,2010-09-08 10:33:00,,,
139,12459,Spain,2010-04-13 14:53:00,,,
140,12460,Belgium,2010-09-09 13:51:00,,,
141,12461,Switzerland,2011-08-07 10:23:00,,,
142,12462,Spain,2011-09-02 14:44:00,,,
143,12463,Belgium,2011-12-04 12:47:00,,,
144,12464,Belgium,2011-03-02 13:30:00,,,
145,12465,Belgium,2011-06-23 13:37:00,,,
146,12467,USA,2010-12-10 15:41:00,,,
147,12468,Germany,2010-01-26 10:09:00,,,
148,12469,Thailand,2010-06-21 10:30:00,,,
149,12470,Unspecified,2010-01-19 11:01:00,,,
150,12471,Germany,2009-07-12 10:41:00,,,
151,12472,Germany,2009-12-14 10:49:00,,,
152,12473,Germany,2011-01-06 10:15:00,,,
153,12474,Germany,2010-11-02 09:41:00,,,
154,12475,Germany,2010-10-26 08:49:00,,,
155,12476,Germany,2010-07-26 09:04:00,,,
156,12477,Germany,2010-03-26 14:01:00,,,
157,12478,Greece,2011-06-12 09:56:00,,,
158,12479,Germany,2011-11-28 13:26:00,,,
159,12480,Germany,2010-07-20 13:21:00,,,
160,12481,Germany,2010-11-04 13:10:00,,,
161,12482,Sweden,2010-02-24 10:24:00,,,
162,12483,Sweden,2010-01-31 13:28:00,,,
163,12484,Spain,2010-01-27 16:41:00,,,
164,12485,Sweden,2010-06-28 15:22:00,,,
165,12486,Sweden,2010-04-10 12:14:00,,,
166,12487,Sweden,2009-09-12 11:36:00,,,
167,12488,France,2011-09-25 10:34:00,,,
168,12489,France,2011-07-01 13:13:00,,,
169,12490,France,2009-01-12 12:52:00,,,
170,12491,France,2011-01-11 12:18:00,,,
171,12492,Germany,2010-01-11 14:58:00,,,
172,12493,France,2011-05-26 14:53:00,,,
173,12494,France,2010-12-05 13:52:00,,,
174,12495,Sweden,2010-09-03 10:53:00,,,
175,12496,Spain,2010-03-29 13:57:00,,,
176,12497,Germany,2010-05-03 09:39:00,,,
177,12498,Germany,2011-10-13 09:30:00,,,
178,12499,Germany,2010-05-28 15:12:00,,,
179,12500,Germany,2010-04-02 15:05:00,,,
180,12501,Germany,2011-07-01 12:28:00,,,
181,12502,Spain,2011-03-02 10:41:00,,,
182,12503,Spain,2010-04-05 13:59:00,,,
183,12504,Germany,2010-04-22 10:24:00,,,
184,12505,Italy,2010-10-27 09:18:00,,,
185,12506,France,2011-04-21 08:54:00,,,
186,12507,Spain,2010-04-05 09:23:00,,,
187,12508,France,2011-10-11 16:27:00,,,
188,12509,France,2011-02-28 14:45:00,,,
189,12510,Spain,2009-04-12 13:47:00,,,
190,12511,Greece,2010-07-10 10:39:00,,,
191,12512,Israel,2011-04-10 14:53:00,,,
192,12513,France,2011-08-19 10:51:00,,,
193,12514,Italy,2010-08-03 12:18:00,,,
194,12515,Italy,2010-12-21 15:43:00,,,
195,12516,Germany,2010-04-19 14:14:00,,,
196,12517,Germany,2011-02-06 15:13:00,,,
197,12518,Germany,2011-08-21 13:18:00,,,
198,12519,Germany,2010-08-20 08:21:00,,,
199,12520,Germany,2011-11-03 11:35:00,,,
200,12521,Germany,2011-07-20 10:51:00,,,
201,12522,Germany,2011-10-19 14:41:00,,,
202,12523,France,2009-07-12 13:46:00,,,
203,12524,Germany,2010-08-02 14:41:00,,,
204,12525,France,2010-02-03 14:01:00,,,
205,12526,Germany,2011-06-09 14:19:00,,,
206,12527,Germany,2010-06-28 15:37:00,,,
207,12528,Germany,2011-01-31 09:05:00,,,
208,12529,France,2010-06-29 13:10:00,,,
209,12530,Germany,2010-07-03 14:37:00,,,
210,12531,Germany,2010-01-22 14:17:00,,,
211,12532,France,2011-09-11 13:47:00,,,
212,12533,Germany,2009-01-12 11:50:00,,,
213,12534,Germany,2011-01-08 10:26:00,,,
214,12535,France,2011-06-06 12:47:00,,,
215,12536,France,2011-11-10 14:52:00,,,
216,12537,Sweden,2010-10-27 08:36:00,,,
217,12538,Spain,2010-11-26 13:02:00,,,
218,12539,Spain,2009-12-23 13:00:00,,,
219,12540,Spain,2009-07-12 16:56:00,,,
220,12541,Spain,2011-04-03 09:32:00,,,
221,12542,Spain,2010-09-03 16:26:00,,,
222,12543,Spain,2010-09-17 15:51:00,,,
223,12544,Spain,2011-03-11 16:15:00,,,
224,12545,Spain,2011-03-25 12:04:00,,,
225,12546,Spain,2011-09-23 09:44:00,,,
226,12547,Spain,2010-07-27 13:55:00,,,
227,12548,Spain,2011-06-26 15:35:00,,,
228,12549,USA,2010-11-01 12:29:00,,,
229,12550,Spain,2011-09-21 14:35:00,,,
230,12551,Spain,2010-12-17 11:23:00,,,
231,12552,Italy,2011-10-31 12:11:00,,,
232,12553,France,2010-12-10 13:35:00,,,
233,12554,Spain,2010-09-17 12:29:00,,,
234,12556,Spain,2011-11-07 13:35:00,,,
235,12557,Spain,2009-12-17 10:39:00,,,
236,12558,USA,2011-02-12 10:41:00,,,
237,12559,Germany,2011-01-24 10:12:00,,,
238,12560,Germany,2011-07-19 15:55:00,,,
239,12561,Germany,2011-10-02 11:39:00,,,
240,12562,France,2010-09-30 13:13:00,,,
241,12563,Italy,2010-10-27 09:52:00,,,
242,12564,France,2011-03-23 14:55:00,,,
243,12565,Saudi Arabia,2011-02-24 10:34:00,,,
244,12566,Germany,2011-09-14 14:30:00,,,
245,12567,France,2010-11-02 10:30:00,,,
246,12568,Germany,2010-05-03 09:15:00,,,
247,12569,Germany,2011-01-04 13:47:00,,,
248,12571,France,2011-10-08 12:35:00,,,
249,12572,Germany,2011-10-19 08:20:00,,,
250,12573,France,2010-08-31 17:25:00,,,
251,12574,France,2011-01-28 09:20:00,,,
252,12575,France,2010-01-07 09:15:00,,,
253,12576,Poland,2010-01-07 13:46:00,,,
254,12577,France,2009-03-12 19:31:00,,,
255,12578,Italy,2010-09-22 11:19:00,,,
256,12579,France,2011-09-22 17:15:00,,,
257,12580,Germany,2010-12-05 11:45:00,,,
258,12581,Germany,2011-10-31 08:56:00,,,
259,12582,Finland,2010-11-05 09:55:00,,,
260,12583,France,2009-06-12 11:57:00,,,
261,12584,Italy,2011-04-03 15:15:00,,,
262,12585,Germany,2010-12-23 12:58:00,,,
263,12586,Italy,2009-12-16 13:15:00,,,
264,12587,Finland,2011-02-12 12:47:00,,,
265,12588,Finland,2010-04-21 12:22:00,,,
266,12589,France,2010-01-19 12:26:00,,,
267,12590,Germany,2011-12-05 14:46:00,,,
268,12591,Italy,2010-10-27 10:42:00,,,
269,12592,Germany,2010-08-07 14:06:00,,,
270,12593,France,2011-05-05 09:29:00,,,
271,12594,Italy,2010-03-03 13:51:00,,,
272,12595,Germany,2010-07-23 09:10:00,,,
273,12596,Spain,2011-11-04 13:22:00,,,
274,12597,Spain,2011-03-16 14:00:00,,,
275,12598,France,2010-01-03 09:58:00,,,
276,12599,France,2010-11-05 10:42:00,,,
277,12600,Germany,2009-07-12 13:37:00,,,
278,12601,Germany,2010-10-31 10:57:00,,,
279,12602,France,2011-12-10 11:22:00,,,
280,12603,Germany,2011-11-18 10:42:00,,,
281,12604,France,2011-03-23 12:06:00,,,
282,12605,Germany,2010-07-09 14:21:00,,,
283,12607,USA,2011-10-10 16:06:00,,,
284,12608,United Kingdom,2010-10-31 10:49:00,,,
285,12609,Germany,2009-12-20 13:30:00,,,
286,12610,Italy,2011-05-08 13:52:00,,,
287,12611,Italy,2011-10-18 13:12:00,,,
288,12612,Germany,2011-09-26 15:35:00,,,
289,12613,Germany,2009-12-14 13:10:00,,,
290,12614,Germany,2011-07-03 10:22:00,,,
291,12615,France,2010-03-18 14:09:00,,,
292,12616,France,2010-11-16 11:38:00,,,
293,12617,France,2011-10-11 14:39:00,,,
294,12618,Italy,2011-11-18 11:10:00,,,
295,12619,Germany,2010-05-28 12:52:00,,,
296,12620,France,2011-05-19 12:10:00,,,
297,12621,Germany,2010-09-02 12:01:00,,,
298,12622,Germany,2011-04-21 16:39:00,,,
299,12623,Germany,2010-12-01 11:45:00,,,
300,12624,France,2011-06-15 12:34:00,,,
301,12625,Germany,2010-04-22 11:33:00,,,
302,12626,Germany,2011-01-17 11:01:00,,,
303,12627,Germany,2011-07-22 13:59:00,,,
304,12628,Germany,2011-06-10 09:28:00,,,
305,12629,Sweden,2010-12-10 16:40:00,,,
306,12630,Finland,2011-10-27 10:41:00,,,
307,12631,Finland,2010-01-15 14:50:00,,,
308,12632,Germany,2010-05-24 09:07:00,,,
309,12633,Germany,2010-02-07 11:44:00,,,
310,12634,USA,2010-09-06 15:41:00,,,
311,12635,Germany,2010-09-09 10:50:00,,,
312,12637,France,2010-06-14 13:36:00,,,
313,12638,Sweden,2010-10-03 10:30:00,,,
314,12639,Sweden,2010-03-22 09:05:00,,,
315,12640,France,2011-09-19 12:01:00,,,
316,12641,Sweden,2011-08-16 13:26:00,,,
317,12642,Germany,2011-08-24 09:23:00,,,
318,12643,France,2010-07-04 14:16:00,,,
319,12644,Germany,2010-01-14 13:02:00,,,
320,12645,Germany,2010-09-02 10:49:00,,,
321,12646,USA,2011-10-21 12:52:00,,,
322,12647,Germany,2010-01-13 15:06:00,,,
323,12648,Germany,2010-07-01 18:38:00,,,
324,12649,Germany,2010-12-01 17:24:00,,,
325,12650,France,2011-06-12 16:34:00,,,
326,12651,France,2010-08-31 15:21:00,,,
327,12652,Germany,2010-01-10 15:16:00,2011-12-01 15:00:00,,
328,12652,France,2011-12-01 15:00:00,,,
329,12653,Israel,2010-01-07 09:56:00,,,
330,12654,Germany,2011-02-17 13:16:00,,,
331,12655,France,2010-12-10 09:17:00,,,
332,12656,France,2010-05-26 09:00:00,,,
333,12657,France,2011-09-22 11:40:00,,,
334,12658,Germany,2011-11-21 10:22:00,,,
335,12659,France,2011-10-11 11:53:00,,,
336,12660,France,2011-11-28 13:26:00,,,
337,12661,Sweden,2010-09-29 16:46:00,,,
338,12662,Germany,2010-01-04 09:50:00,,,
339,12663,Germany,2010-09-02 14:28:00,,,
340,12664,Finland,2009-12-13 10:28:00,,,
341,12665,Germany,2010-08-02 15:11:00,,,
342,12666,Israel,2010-10-11 16:40:00,,,
343,12667,Finland,2011-12-10 17:00:00,,,
344,12668,Germany,2010-01-31 15:45:00,,,
345,12669,France,2011-03-28 10:15:00,,,
346,12670,France,2010-11-02 10:13:00,,,
347,12671,Germany,2010-12-04 16:30:00,,,
348,12672,France,2010-04-23 09:57:00,,,
349,12673,Germany,2010-03-11 10:46:00,,,
350,12674,France,2011-05-16 09:10:00,,,
351,12675,Italy,2010-10-05 16:44:00,,,
352,12676,Sweden,2010-08-13 13:29:00,,,
353,12677,France,2010-11-02 13:55:00,,,
354,12678,France,2010-07-01 16:46:00,,,
355,12679,France,2011-01-03 12:26:00,,,
356,12680,France,2011-08-18 15:44:00,,,
357,12681,France,2009-12-13 13:31:00,,,
358,12682,France,2009-01-12 09:28:00,,,
359,12683,France,2009-12-13 15:01:00,,,
360,12684,France,2011-10-05 12:55:00,,,
361,12685,France,2011-07-09 10:28:00,,,
362,12686,France,2010-03-12 09:51:00,,,
363,12687,Sweden,2010-08-16 12:12:00,,,
364,12688,Israel,2011-08-18 08:49:00,,,
365,12689,France,2011-04-08 10:04:00,,,
366,12690,France,2011-05-18 09:09:00,,,
367,12691,France,2010-10-15 12:00:00,,,
368,12692,France,2010-12-03 14:02:00,,,
369,12693,Germany,2010-05-07 13:56:00,,,
370,12694,France,2010-10-14 19:39:00,,,
371,12695,France,2010-12-02 13:22:00,,,
372,12696,Finland,2010-07-19 10:02:00,,,
373,12697,Sweden,2011-06-23 15:44:00,,,
374,12698,Germany,2010-04-28 15:51:00,,,
375,12699,Germany,2010-10-18 12:07:00,,,
376,12700,France,2011-08-05 16:10:00,,,
377,12701,Germany,2010-03-16 13:23:00,,,
378,12702,Germany,2011-11-20 10:36:00,,,
379,12703,Germany,2010-01-24 12:05:00,,,
380,12704,Finland,2011-06-23 10:20:00,,,
381,12705,Germany,2010-06-24 09:51:00,,,
382,12707,France,2011-02-21 08:38:00,,,
383,12708,Germany,2009-12-18 10:25:00,,,
384,12709,Germany,2009-09-12 13:49:00,,,
385,12710,Germany,2011-05-22 14:05:00,,,
386,12711,Germany,2010-01-02 11:30:00,,,
387,12712,Germany,2009-09-12 10:46:00,,,
388,12713,Germany,2011-09-12 12:16:00,,,
389,12714,France,2009-04-12 10:00:00,,,
390,12715,Sweden,2011-08-25 15:22:00,,,
391,12716,France,2011-07-29 13:28:00,,,
392,12717,Greece,2010-04-28 14:34:00,,,
393,12718,France,2011-09-29 16:38:00,,,
394,12719,France,2011-05-10 14:50:00,,,
395,12720,Germany,2010-07-21 09:46:00,,,
396,12721,France,2010-08-25 11:07:00,,,
397,12722,France,2011-12-07 11:55:00,,,
398,12723,France,2011-05-10 15:52:00,,,
399,12724,France,2010-06-22 14:00:00,,,
400,12725,Italy,2010-04-05 13:59:00,,,
401,12726,France,2010-03-25 16:25:00,,,
402,12727,France,2010-02-23 09:54:00,,,
403,12728,France,2010-11-21 11:34:00,,,
404,12729,France,2011-08-18 11:40:00,,,
405,12730,Germany,2010-06-07 12:19:00,,,
406,12731,France,2010-02-03 09:23:00,,,
407,12732,France,2011-06-13 11:33:00,,,
408,12733,USA,2010-01-19 13:23:00,,,
409,12734,France,2010-12-11 13:26:00,,,
410,12735,France,2011-06-01 14:26:00,,,
411,12736,France,2011-11-01 07:57:00,,,
412,12738,Germany,2010-02-12 18:27:00,,,
413,12739,United Arab Emirates,2010-10-11 14:27:00,,,
414,12740,France,2011-07-10 10:44:00,,,
415,12741,USA,2010-06-24 16:24:00,,,
416,12742,United Arab Emirates,2010-03-24 12:43:00,,,
417,12743,Unspecified,2011-07-28 16:06:00,,,
418,12744,Singapore,2010-04-27 16:19:00,,,
419,12745,United Kingdom,2010-05-14 16:50:00,,,
420,12746,United Kingdom,2010-06-17 10:41:00,,,
421,12747,United Kingdom,2009-07-12 13:23:00,,,
422,12748,United Kingdom,2009-04-12 17:31:00,,,
423,12749,United Kingdom,2010-06-07 15:05:00,,,
424,12750,Poland,2011-03-08 09:13:00,,,
425,12751,Brazil,2010-09-21 12:49:00,,,
426,12752,Norway,2011-09-19 13:32:00,,,
427,12753,Japan,2010-12-12 11:44:00,,,
428,12754,Japan,2011-04-02 10:31:00,,,
429,12755,Japan,2010-01-15 11:57:00,,,
430,12756,Japan,2011-09-14 09:31:00,,,
431,12757,Portugal,2011-12-05 19:01:00,,,
432,12758,Portugal,2009-01-12 14:40:00,,,
433,12759,Netherlands,2009-04-12 10:47:00,,,
434,12760,Netherlands,2010-10-09 08:50:00,,,
435,12761,Netherlands,2010-01-09 10:47:00,,,
436,12762,Portugal,2011-11-14 14:23:00,,,
437,12763,Japan,2010-05-12 15:46:00,,,
438,12764,Lebanon,2011-01-27 10:19:00,,,
439,12765,Netherlands,2010-08-03 09:43:00,,,
440,12766,Portugal,2010-10-28 09:29:00,,,
441,12767,Korea,2010-11-29 09:38:00,,,
442,12768,Korea,2010-09-15 12:08:00,,,
443,12769,Brazil,2011-04-15 10:25:00,,,
444,12770,Japan,2010-09-09 11:43:00,,,
445,12771,Portugal,2010-11-08 11:51:00,,,
446,12772,Portugal,2011-11-10 09:19:00,,,
447,12773,Portugal,2010-05-24 17:30:00,,,
448,12774,Netherlands,2010-06-22 10:38:00,,,
449,12775,Netherlands,2010-10-26 14:24:00,,,
450,12776,Portugal,2010-10-02 12:11:00,,,
451,12777,United Kingdom,2010-08-09 11:35:00,,,
452,12778,Netherlands,2010-04-16 09:57:00,,,
453,12779,Poland,2009-03-12 07:25:00,,,
454,12780,Netherlands,2010-04-20 09:40:00,,,
455,12781,Czech Republic,2011-02-28 08:43:00,,,
456,12782,Portugal,2010-08-07 13:31:00,,,
457,12783,Portugal,2011-09-25 15:35:00,,,
458,12784,Portugal,2010-06-28 13:06:00,,,
459,12785,Portugal,2009-08-12 13:56:00,,,
460,12786,Netherlands,2010-09-04 12:12:00,,,
461,12787,Netherlands,2010-10-22 14:57:00,,,
462,12788,Netherlands,2010-06-29 13:05:00,,,
463,12789,Netherlands,2010-01-15 12:06:00,,,
464,12790,Netherlands,2010-10-25 13:04:00,,,
465,12791,Netherlands,2010-03-25 17:29:00,,,
466,12792,Portugal,2010-06-23 10:49:00,,,
467,12793,Portugal,2010-03-11 13:05:00,,,
468,12794,Portugal,2011-02-09 12:01:00,,,
469,12795,Portugal,2011-11-21 10:27:00,,,
470,12796,Netherlands,2010-03-21 15:49:00,,,
471,12797,Portugal,2010-11-10 12:53:00,,,
472,12798,Japan,2010-10-14 12:27:00,,,
473,12799,Japan,2010-06-28 15:57:00,,,
474,12800,Portugal,2010-01-02 11:02:00,,,
475,12801,Sweden,2010-07-27 09:38:00,,,
476,12802,Netherlands,2010-05-25 09:34:00,,,
477,12803,Netherlands,2010-11-11 14:57:00,,,
478,12804,Netherlands,2010-07-27 13:52:00,,,
479,12805,Netherlands,2010-03-02 09:06:00,,,
480,12806,Netherlands,2010-04-30 10:44:00,,,
481,12807,Sweden,2010-11-21 14:21:00,,,
482,12808,Portugal,2010-03-09 10:24:00,,,
483,12809,Portugal,2010-02-03 14:19:00,,,
484,12810,Japan,2010-01-02 09:52:00,,,
485,12811,Portugal,2010-08-10 12:20:00,,,
486,12812,Japan,2011-10-26 09:54:00,,,
487,12813,Netherlands,2010-01-15 16:52:00,,,
488,12814,Poland,2011-08-30 12:11:00,,,
489,12815,Poland,2011-05-25 13:34:00,,,
490,12816,Poland,2011-06-16 13:24:00,,,
491,12817,Austria,2010-01-10 08:57:00,,,
492,12818,Austria,2011-03-23 12:06:00,,,
493,12819,United Kingdom,2010-07-09 15:20:00,,,
494,12820,United Kingdom,2009-05-12 13:37:00,,,
495,12821,United Kingdom,2010-07-04 15:14:00,,,
496,12822,United Kingdom,2011-09-13 13:46:00,,,
497,12823,United Kingdom,2010-01-29 12:52:00,,,
498,12824,United Kingdom,2011-11-10 12:49:00,,,
499,12825,United Kingdom,2010-08-03 10:17:00,,,
500,12826,United Kingdom,2009-12-18 10:43:00,,,
501,12827,United Kingdom,2011-10-26 15:44:00,,,
502,12828,United Kingdom,2011-01-08 16:16:00,,,
503,12829,United Kingdom,2010-07-06 15:04:00,,,
504,12830,United Kingdom,2011-06-21 10:53:00,,,
505,12831,United Kingdom,2010-02-09 15:58:00,,,
506,12832,United Kingdom,2011-02-09 13:48:00,,,
507,12833,United Kingdom,2011-07-17 13:46:00,,,
508,12834,United Kingdom,2011-02-03 09:49:00,,,
509,12835,United Kingdom,2009-03-12 12:13:00,,,
510,12836,United Kingdom,2009-01-12 14:19:00,,,
511,12837,United Kingdom,2010-05-19 15:10:00,,,
512,12838,United Kingdom,2010-04-26 09:59:00,,,
513,12839,United Kingdom,2009-07-12 09:18:00,,,
514,12840,United Kingdom,2010-03-02 14:51:00,,,
515,12841,United Kingdom,2010-08-07 15:38:00,,,
516,12842,United Kingdom,2009-02-12 08:15:00,,,
517,12843,United Kingdom,2009-12-13 11:41:00,,,
518,12844,United Kingdom,2010-04-25 11:51:00,,,
519,12845,United Kingdom,2011-02-22 14:10:00,,,
520,12847,United Kingdom,2010-11-17 12:44:00,,,
521,12848,United Kingdom,2010-02-02 12:45:00,,,
522,12849,United Kingdom,2010-04-27 13:44:00,,,
523,12850,United Kingdom,2010-09-20 12:26:00,,,
524,12851,United Kingdom,2010-08-19 15:13:00,,,
525,12852,United Kingdom,2011-02-18 08:47:00,,,
526,12853,United Kingdom,2010-05-02 11:57:00,,,
527,12854,United Kingdom,2009-11-12 12:55:00,,,
528,12855,United Kingdom,2010-02-11 18:16:00,,,
529,12856,United Kingdom,2011-07-10 12:38:00,,,
530,12857,United Kingdom,2010-01-25 15:37:00,,,
531,12858,United Kingdom,2010-11-21 12:55:00,,,
532,12859,United Kingdom,2010-07-09 12:20:00,,,
533,12860,United Kingdom,2010-01-15 15:22:00,,,
534,12861,United Kingdom,2010-03-30 11:39:00,,,
