K_Receipt,K_Member,Quantity,Q_Amount,T_Receipt,Q_Discount_Amount
489560,13526,1585.0,859.0999999999999,2009-01-12 12:56:00,
489561,14654,273.0,246.86,2009-01-12 12:57:00,
489562,17998,107.0,229.6,2009-01-12 13:07:00,
489564,13526,326.0,322.9,2009-01-12 13:13:00,
489566,17742,35.0,218.54999999999998,2009-01-12 13:16:00,
489567,15326,150.0,307.8,2009-01-12 13:19:00,
489569,14478,312.0,282.28,2009-01-12 13:20:00,
489571,15967,50.0,156.71,2009-01-12 13:29:00,
489572,17611,273.0,507.49,2009-01-12 13:29:00,
489573,15051,306.0,580.02,2009-01-12 13:29:00,
489574,13097,309.0,544.73,2009-01-12 13:31:00,
489575,13590,300.0,367.28000000000003,2009-01-12 13:37:00,
489576,15984,178.0,319.66,2009-01-12 13:38:00,
489579,16887,177.0,219.82,2009-01-12 13:41:00,
489580,12921,276.0,261.0,2009-01-12 13:43:00,
489581,15945,137.0,124.83000000000001,2009-01-12 13:47:00,
489582,14543,125.0,293.95,2009-01-12 13:47:00,
489584,18037,1.0,21.95,2009-01-12 13:48:00,
489585,15662,67.0,105.85,2009-01-12 13:49:00,
489586,15380,98.0,263.42,2009-01-12 13:50:00,
489590,13110,87.0,362.78000000000003,2009-01-12 14:14:00,
489593,12836,93.0,407.97,2009-01-12 14:19:00,
489594,15005,180.0,319.38,2009-01-12 14:19:00,
489598,16620,575.0,822.37,2009-01-12 14:35:00,
489599,12758,1403.0,2454.68,2009-01-12 14:40:00,
489606,17961,1.0,2.1,2009-01-12 14:48:00,
489611,15601,1.0,2.95,2009-01-12 14:53:00,
489613,13585,1.0,12.75,2009-01-12 14:56:00,
489617,13442,42.0,198.0,2009-01-12 14:59:00,
489634,13381,12.0,17.4,2009-01-12 15:19:00,
489635,16763,173.0,352.85,2009-01-12 15:26:00,
489637,17243,157.0,535.9,2009-01-12 15:36:00,
489639,14865,48.0,31.200000000000003,2009-01-12 16:05:00,
489640,17345,600.0,329.90999999999997,2009-01-12 16:17:00,
489641,13819,462.0,622.1,2009-01-12 16:18:00,
489644,15808,297.0,857.5400000000001,2009-01-12 16:30:00,
489645,17191,97.0,261.74,2009-01-12 16:34:00,
489650,13748,90.0,173.1,2009-01-12 16:44:00,
489652,15265,146.0,294.14,2009-01-12 17:08:00,
489654,15750,115.0,222.12,2009-01-12 17:19:00,
489656,17428,401.0,1237.3,2009-01-12 17:28:00,
489657,17428,32.0,55.2,2009-01-12 17:28:00,
489658,15485,249.0,828.09,2009-01-12 17:31:00,
489661,17246,34.0,23.48,2009-01-12 17:45:00,
489662,15485,25.0,73.75,2009-01-12 17:50:00,
489664,14061,57.0,374.43,2009-01-12 18:03:00,
489665,14108,118.0,252.3,2009-01-12 18:07:00,
489666,13648,203.0,263.09000000000003,2009-01-12 18:13:00,
489667,16563,221.0,538.46,2009-01-12 18:35:00,
489668,16701,198.0,378.12,2009-01-12 19:19:00,
489669,12842,168.0,397.20000000000005,2009-02-12 08:15:00,
489670,14302,28.0,114.60000000000001,2009-02-12 08:16:00,
489671,14135,966.0,740.3,2009-02-12 08:58:00,
489672,14831,421.0,772.65,2009-02-12 09:21:00,
489673,14831,34.0,61.099999999999994,2009-02-12 09:23:00,
489674,15602,266.0,261.3,2009-02-12 09:35:00,
489675,13777,1930.0,4939.22,2009-02-12 09:47:00,
489676,13777,840.0,1210.8,2009-02-12 09:49:00,
489677,14000,48.0,192.0,2009-02-12 09:50:00,
489678,16823,113.0,189.29999999999998,2009-02-12 09:57:00,
489679,16163,280.0,795.98,2009-02-12 10:00:00,
489680,17193,36.0,45.0,2009-02-12 10:02:00,
489681,17998,183.0,89.59,2009-02-12 10:02:00,
489682,15759,303.0,125.73,2009-02-12 10:08:00,
489683,16131,721.0,1317.97,2009-02-12 10:09:00,
489684,14560,116.0,266.6,2009-02-12 10:15:00,
489687,17087,113.0,221.53,2009-02-12 10:41:00,
489688,14894,54.0,299.70000000000005,2009-02-12 10:42:00,
489695,16202,121.0,306.95,2009-02-12 10:48:00,
489699,16700,238.0,401.7,2009-02-12 10:51:00,
489702,17511,2020.0,3108.64,2009-02-12 10:52:00,
489705,16700,4.0,17.0,2009-02-12 10:52:00,
489723,14299,1339.0,2052.12,2009-02-12 10:58:00,
489725,17949,300.0,216.0,2009-02-12 11:07:00,
489726,17949,200.0,750.0,2009-02-12 11:07:00,
489727,17949,450.0,900.0,2009-02-12 11:09:00,
489728,14799,349.0,180.45,2009-02-12 11:18:00,
489733,15311,48.0,168.0,2009-02-12 11:20:00,
489743,16550,320.0,538.77,2009-02-12 11:24:00,
489748,12980,84.0,754.2,2009-02-12 11:26:00,
489764,14425,82.0,223.1,2009-02-12 11:31:00,
489765,15353,88.0,271.74,2009-02-12 11:33:00,
489766,17818,86.0,124.78,2009-02-12 11:34:00,
489780,13654,90.0,159.98000000000002,2009-02-12 11:43:00,
489782,17189,147.0,228.36,2009-02-12 11:45:00,
489783,13269,152.0,162.04,2009-02-12 11:47:00,
489784,13269,48.0,40.8,2009-02-12 11:48:00,
489785,14653,248.0,333.09000000000003,2009-02-12 11:51:00,
489786,17019,197.0,212.66,2009-02-12 11:52:00,
489787,15542,116.0,293.19,2009-02-12 11:53:00,
489788,13564,38.0,119.16,2009-02-12 11:55:00,
489789,15833,24.0,80.4,2009-02-12 11:59:00,
489790,16467,88.0,131.12,2009-02-12 11:59:00,
489791,15542,87.0,216.59,2009-02-12 12:06:00,
489792,14527,165.0,923.79,2009-02-12 12:06:00,
489793,17476,124.0,260.36,2009-02-12 12:09:00,
489794,15287,55.0,58.2,2009-02-12 12:13:00,
489795,14440,287.0,935.01,2009-02-12 12:13:00,
489796,15680,268.0,311.5,2009-02-12 12:15:00,
489797,15581,141.0,196.88,2009-02-12 12:19:00,
489798,13740,93.0,296.69,2009-02-12 12:22:00,
489800,17768,502.0,382.57,2009-02-12 12:26:00,
489801,12948,144.0,128.48000000000002,2009-02-12 12:28:00,
489802,15581,156.0,174.52,2009-02-12 12:32:00,
489804,14667,185.0,251.17000000000002,2009-02-12 12:38:00,
489805,17377,227.0,454.35,2009-02-12 12:39:00,
489807,15581,241.0,180.13,2009-02-12 12:43:00,
489808,14467,82.0,109.84,2009-02-12 12:44:00,
489809,13457,68.0,112.5,2009-02-12 12:46:00,
489810,18108,165.0,493.25,2009-02-12 12:47:00,
489811,16210,515.0,634.29,2009-02-12 12:54:00,
489812,17377,85.0,597.6899999999999,2009-02-12 13:00:00,
489814,14669,503.0,811.53,2009-02-12 13:06:00,
489815,17909,35.0,110.05,2009-02-12 13:10:00,
489816,16086,258.0,284.55,2009-02-12 13:20:00,
489817,16711,132.0,340.2,2009-02-12 13:22:00,
489818,16233,102.0,294.3,2009-02-12 13:23:00,
489819,14739,465.0,618.4300000000001,2009-02-12 13:23:00,
489822,14204,103.0,371.27000000000004,2009-02-12 13:26:00,
489823,17606,42.0,87.30000000000001,2009-02-12 13:32:00,
489824,16797,127.0,176.88,2009-02-12 13:33:00,
489825,16126,106.0,174.1,2009-02-12 13:34:00,
489826,17867,17.0,85.95,2009-02-12 13:39:00,
489827,17412,382.0,445.7,2009-02-12 13:51:00,
489829,16525,237.0,472.47,2009-02-12 13:53:00,
489830,13623,240.0,628.14,2009-02-12 13:57:00,
489831,12435,480.0,1008.0,2009-02-12 13:58:00,
489832,14549,121.0,313.27,2009-02-12 14:06:00,
489833,14980,79.0,150.68,2009-02-12 14:09:00,
489834,14106,24.0,214.79999999999998,2009-02-12 14:09:00,
489835,15061,280.0,714.0,2009-02-12 14:15:00,
489837,14396,268.0,507.47,2009-02-12 14:21:00,
489840,14122,6.0,89.69999999999999,2009-02-12 14:22:00,
489855,16987,56.0,157.91,2009-02-12 14:34:00,
489862,17809,150.0,734.7,2009-02-12 14:52:00,
489863,15917,21.0,66.82,2009-02-12 14:55:00,
489864,14987,79.0,206.85,2009-02-12 14:56:00,
489865,14080,53.0,234.87,2009-02-12 15:01:00,
489866,16200,577.0,987.73,2009-02-12 15:04:00,
489868,15794,248.0,675.0,2009-02-12 15:10:00,
489869,16200,27.0,39.980000000000004,2009-02-12 15:15:00,
489870,15523,118.0,162.1,2009-02-12 15:16:00,
489871,15523,274.0,735.7,2009-02-12 15:17:00,
489872,15615,320.0,632.9,2009-02-12 15:28:00,
489873,15615,12.0,10.2,2009-02-12 15:29:00,
489874,18001,144.0,176.6,2009-02-12 15:38:00,
489875,17841,217.0,525.71,2009-02-12 15:41:00,
489876,15917,22.0,39.85,2009-02-12 15:44:00,
489877,13089,162.0,368.1,2009-02-12 15:44:00,
489878,15989,55.0,140.16,2009-02-12 15:51:00,
489879,17660,138.0,163.47,2009-02-12 16:02:00,
489880,13313,552.0,380.28000000000003,2009-02-12 16:18:00,
489883,12437,260.0,524.28,2009-02-12 16:24:00,
489884,13313,19.0,3.61,2009-02-12 16:24:00,
489888,14841,660.0,597.4,2009-02-12 16:49:00,
489889,14646,3200.0,4734.24,2009-02-12 16:52:00,
489890,14646,592.0,976.8,2009-02-12 16:53:00,
489891,15482,144.0,181.08,2009-02-12 16:59:00,
489893,16156,98.0,300.1,2009-02-12 17:06:00,
489894,17716,396.0,520.2,2009-02-12 17:18:00,
489895,12779,266.0,371.82,2009-03-12 07:25:00,
489896,13611,227.0,337.93,2009-03-12 07:57:00,
489897,15255,176.0,260.44,2009-03-12 09:10:00,
489900,14771,253.0,287.37,2009-03-12 09:44:00,
489902,14838,18.0,119.10000000000001,2009-03-12 09:52:00,
489904,13979,150.0,203.78,2009-03-12 10:02:00,
489905,13800,242.0,478.7,2009-03-12 10:03:00,
489906,14483,96.0,120.0,2009-03-12 10:16:00,
489907,14915,104.0,202.06,2009-03-12 10:17:00,
489908,16301,41.0,107.33,2009-03-12 10:20:00,
489909,13753,428.0,642.2,2009-03-12 10:20:00,
489910,15482,288.0,144.0,2009-03-12 10:23:00,
489912,13931,578.0,1146.1000000000001,2009-03-12 10:26:00,
489913,13931,16.0,69.6,2009-03-12 10:28:00,
489914,12921,508.0,993.0,2009-03-12 10:28:00,
489915,17035,36.0,54.599999999999994,2009-03-12 10:37:00,
489916,15194,212.0,336.0,2009-03-12 10:37:00,
489932,14347,48.0,82.6,2009-03-12 10:49:00,
489935,12934,31.0,181.65,2009-03-12 10:51:00,
489994,15291,142.0,430.9,2009-03-12 11:09:00,
489996,17209,514.0,320.40000000000003,2009-03-12 11:10:00,
489998,15658,95.0,321.65,2009-03-12 11:19:00,
489999,17314,72.0,154.2,2009-03-12 11:25:00,
490000,17155,89.0,143.06,2009-03-12 11:34:00,
490001,15965,94.0,169.5,2009-03-12 11:45:00,
490002,17322,115.0,114.55,2009-03-12 11:46:00,
490003,16159,163.0,317.55,2009-03-12 11:51:00,
490004,14051,224.0,912.5600000000001,2009-03-12 11:53:00,
490005,13993,203.0,556.75,2009-03-12 11:57:00,
490006,17411,150.0,344.40000000000003,2009-03-12 12:02:00,
490008,15768,256.0,502.28,2009-03-12 12:10:00,
490009,12835,100.0,285.09,2009-03-12 12:13:00,
490010,15061,480.0,1008.0,2009-03-12 12:15:00,
490011,16918,138.0,221.69,2009-03-12 12:27:00,
490012,15179,339.0,763.35,2009-03-12 12:27:00,
490013,17069,395.0,500.55,2009-03-12 12:27:00,
490014,15466,406.0,740.46,2009-03-12 12:28:00,
490017,14159,267.0,393.65,2009-03-12 12:31:00,
490018,17940,17520.0,4380.0,2009-03-12 12:31:00,
490019,17581,116.0,308.6,2009-03-12 12:34:00,
490020,17581,14.0,37.8,2009-03-12 12:36:00,
490021,17581,12.0,10.2,2009-03-12 12:36:00,
490022,17581,24.0,45.60000000000001,2009-03-12 12:37:00,
490023,16168,49.0,189.15,2009-03-12 12:38:00,
490024,14606,121.0,215.0,2009-03-12 12:40:00,
490034,17287,30.0,69.82,2009-03-12 12:45:00,
490045,17287,109.0,180.39,2009-03-12 12:50:00,
490046,13416,66.0,228.3,2009-03-12 13:02:00,
490047,17913,131.0,263.85,2009-03-12 13:02:00,
490048,16779,681.0,1146.71,2009-03-12 13:03:00,
490049,15794,40.0,102.0,2009-03-12 13:04:00,
490050,17913,2.0,13.5,2009-03-12 13:05:00,
490052,13895,408.0,831.0,2009-03-12 13:09:00,
490053,14057,101.0,119.54,2009-03-12 13:17:00,
490054,17017,186.0,277.5,2009-03-12 13:22:00,
490056,13208,56.0,61.12,2009-03-12 13:25:00,
490057,17465,184.0,360.52,2009-03-12 13:25:00,
490058,17465,27.0,47.85,2009-03-12 13:26:00,
490059,18102,4825.0,14475.0,2009-03-12 13:30:00,
490060,13468,148.0,314.22,2009-03-12 13:32:00,
490061,18102,2000.0,4000.0,2009-03-12 13:42:00,
490062,13485,86.0,165.3,2009-03-12 13:46:00,
490063,17271,113.0,204.3,2009-03-12 13:49:00,
490064,16139,215.0,355.59000000000003,2009-03-12 13:51:00,
490065,15061,600.0,1260.0,2009-03-12 13:58:00,
490066,15953,212.0,372.2,2009-03-12 14:00:00,
490067,15856,412.0,952.61,2009-03-12 14:02:00,
490068,13085,90.0,284.3,2009-03-12 14:06:00,
490069,13085,60.0,161.39999999999998,2009-03-12 14:07:00,
490070,14967,68.0,236.25,2009-03-12 14:07:00,
490071,16497,111.0,294.85,2009-03-12 14:11:00,
490072,17764,69.0,187.15,2009-03-12 14:28:00,
490073,14905,172.0,258.1,2009-03-12 14:36:00,
490075,18229,84.0,381.0,2009-03-12 14:42:00,
490077,17293,65.0,115.50999999999999,2009-03-12 15:09:00,
490078,17853,159.0,584.35,2009-03-12 15:09:00,
490079,15550,85.0,160.35,2009-03-12 15:15:00,
490080,13531,126.0,311.7,2009-03-12 15:20:00,
490081,13786,323.0,723.09,2009-03-12 15:32:00,
490082,14952,262.0,337.9,2009-03-12 15:34:00,
490083,14031,1132.0,2506.14,2009-03-12 15:35:00,
490085,12937,108.0,170.06,2009-03-12 15:43:00,
490086,17949,432.0,799.2,2009-03-12 15:48:00,
490087,15601,668.0,898.1800000000001,2009-03-12 15:49:00,
490088,15581,2.0,17.0,2009-03-12 15:50:00,
490089,17949,252.0,466.20000000000005,2009-03-12 15:52:00,
490090,15581,23.0,41.18,2009-03-12 15:53:00,
490091,17949,600.0,636.0,2009-03-12 15:54:00,
490092,16612,297.0,510.87,2009-03-12 15:54:00,
490093,12949,896.0,1794.7,2009-03-12 15:56:00,
490094,17949,504.0,851.76,2009-03-12 15:56:00,
490095,14958,54.0,186.36,2009-03-12 16:02:00,
490097,17329,144.0,273.52,2009-03-12 16:09:00,
490099,16736,526.0,1225.98,2009-03-12 16:12:00,
490100,13001,403.0,869.9300000000001,2009-03-12 16:21:00,
490101,14644,150.0,338.5,2009-03-12 16:24:00,
490106,14898,275.0,314.37,2009-03-12 16:40:00,
490107,14662,30.0,110.69999999999999,2009-03-12 16:47:00,
490108,17414,444.0,239.68,2009-03-12 16:49:00,
490109,14755,204.0,415.0,2009-03-12 16:51:00,
490110,14755,13.0,30.15,2009-03-12 16:52:00,
490111,17576,220.0,319.96000000000004,2009-03-12 16:54:00,
490112,13037,161.0,313.19,2009-03-12 17:04:00,
490113,14710,16.0,39.2,2009-03-12 17:12:00,
490114,18168,160.0,257.62,2009-03-12 17:29:00,
490115,17679,316.0,342.6,2009-03-12 17:32:00,
490116,17679,48.0,122.39999999999999,2009-03-12 17:33:00,
490118,17851,151.0,317.04,2009-03-12 17:46:00,
490119,12931,75.0,108.75,2009-03-12 17:48:00,
490121,14750,65.0,112.03,2009-03-12 17:57:00,
490124,16791,106.0,304.92,2009-03-12 18:08:00,
490125,16558,109.0,297.05,2009-03-12 18:11:00,
490127,14156,202.0,519.1800000000001,2009-03-12 18:13:00,
490128,15884,150.0,236.70000000000002,2009-03-12 18:23:00,
490132,17343,89.0,197.3,2009-03-12 18:30:00,
490134,17372,59.0,151.65,2009-03-12 18:41:00,
490135,16003,127.0,387.87,2009-03-12 18:51:00,
490136,17432,69.0,159.95,2009-03-12 19:13:00,
490137,14713,104.0,160.69,2009-03-12 19:22:00,
490138,16722,198.0,339.78,2009-03-12 19:23:00,
490139,12577,79.0,210.55,2009-03-12 19:31:00,
490140,12872,227.0,407.22,2009-03-12 20:03:00,
490141,15755,158.0,308.75,2009-04-12 08:24:00,
490142,14258,356.0,1261.0,2009-04-12 08:36:00,
490143,14286,1687.0,1610.52,2009-04-12 08:40:00,
490144,13154,152.0,337.1,2009-04-12 08:46:00,
490145,14564,439.0,989.18,2009-04-12 09:27:00,
490147,13408,472.0,510.64,2009-04-12 09:31:00,
490151,16645,117.0,160.39,2009-04-12 09:49:00,
490152,12714,231.0,556.65,2009-04-12 10:00:00,
490154,16335,110.0,288.79,2009-04-12 10:18:00,
490156,13093,262.0,455.36,2009-04-12 10:32:00,
490157,16736,40.0,138.0,2009-04-12 10:39:00,
490158,12759,278.0,454.26,2009-04-12 10:47:00,
490159,13666,2.0,19.5,2009-04-12 10:48:00,
490160,13777,96.0,244.79999999999998,2009-04-12 10:52:00,
490161,17160,653.0,825.94,2009-04-12 10:57:00,
490162,13946,206.0,280.2,2009-04-12 11:07:00,
490163,14723,115.0,141.63,2009-04-12 11:22:00,
490164,14961,632.0,1058.4,2009-04-12 11:32:00,
490166,14735,175.0,371.85,2009-04-12 11:32:00,
490167,18061,241.0,312.21,2009-04-12 11:36:00,
490171,15581,32.0,29.28,2009-04-12 11:54:00,
490202,15078,188.0,410.0,2009-04-12 12:03:00,
490209,17389,484.0,908.0400000000001,2009-04-12 12:06:00,
490212,16883,41.0,108.95,2009-04-12 12:07:00,
490214,13175,201.0,319.15,2009-04-12 12:11:00,
490218,17076,48.0,67.67999999999999,2009-04-12 12:12:00,
490219,13948,63.0,155.65,2009-04-12 12:14:00,
490229,18223,713.0,1185.16,2009-04-12 12:20:00,
490247,16192,208.0,351.3,2009-04-12 12:28:00,
490258,15999,24.0,20.4,2009-04-12 12:31:00,
490266,15109,50.0,231.2,2009-04-12 12:33:00,
490272,14680,272.0,519.89,2009-04-12 12:36:00,
490277,18092,600.0,1077.6,2009-04-12 12:37:00,
490279,16891,154.0,297.68,2009-04-12 12:37:00,
490281,13481,148.0,311.2,2009-04-12 12:37:00,
490282,13807,43.0,107.95,2009-04-12 12:41:00,
490284,14979,209.0,429.66,2009-04-12 12:54:00,
490285,16656,210.0,373.74,2009-04-12 12:59:00,
490286,14527,147.0,762.1,2009-04-12 12:59:00,
490287,16746,218.0,367.1,2009-04-12 13:00:00,
490288,17157,112.0,332.16,2009-04-12 13:00:00,
490289,15309,143.0,273.75,2009-04-12 13:01:00,
490290,16325,85.0,164.03,2009-04-12 13:21:00,
490291,16541,173.0,424.03,2009-04-12 13:22:00,
490292,16723,150.0,426.43,2009-04-12 13:23:00,
490293,16699,130.0,137.4,2009-04-12 13:31:00,
490294,16710,298.0,378.96,2009-04-12 13:41:00,
490295,12510,500.0,323.88,2009-04-12 13:47:00,
490297,13162,328.0,694.2,2009-04-12 13:59:00,
490298,15382,954.0,1523.2,2009-04-12 14:13:00,
490299,13680,192.0,618.2700000000001,2009-04-12 14:14:00,
490300,12970,170.0,236.93,2009-04-12 14:19:00,
490301,15311,93.0,345.27,2009-04-12 14:24:00,
490302,17841,126.0,300.32,2009-04-12 14:29:00,
490303,17935,55.0,106.25,2009-04-12 14:33:00,
490304,17593,339.0,843.01,2009-04-12 14:35:00,
490305,17243,289.0,726.57,2009-04-12 14:37:00,
490308,12835,85.0,194.53,2009-04-12 14:52:00,
490310,17151,42.0,231.90000000000003,2009-04-12 14:56:00,
490311,16451,201.0,307.65000000000003,2009-04-12 15:11:00,
490312,17961,352.0,326.13,2009-04-12 15:16:00,
490313,17127,49.0,137.95,2009-04-12 15:18:00,
490320,13694,1327.0,867.89,2009-04-12 15:26:00,
490323,14087,200.0,235.44,2009-04-12 15:27:00,
490324,13694,320.0,672.0,2009-04-12 15:27:00,
490326,13733,62.0,149.10000000000002,2009-04-12 15:28:00,
490327,13694,600.0,990.0,2009-04-12 15:29:00,
490331,18181,115.0,298.99,2009-04-12 15:30:00,
490340,13174,363.0,630.39,2009-04-12 15:40:00,
490341,13329,270.0,334.65,2009-04-12 15:41:00,
490342,17421,96.0,130.8,2009-04-12 15:43:00,
490346,16351,156.0,216.6,2009-04-12 16:12:00,
490347,15684,68.0,109.4,2009-04-12 16:13:00,
490349,17884,9.0,32.25,2009-04-12 16:23:00,
490353,15514,378.0,494.63,2009-04-12 16:37:00,
490355,13093,287.0,538.1099999999999,2009-04-12 16:39:00,
490356,17884,103.0,117.13000000000001,2009-04-12 16:45:00,
490359,18225,10.0,59.5,2009-04-12 16:52:00,
490360,13679,34.0,126.8,2009-04-12 16:52:00,
490362,12748,199.0,205.35,2009-04-12 17:31:00,
490363,13199,192.0,138.24,2009-05-12 10:11:00,
490364,13487,25.0,103.95,2009-05-12 10:25:00,
490365,17018,120.0,351.6,2009-05-12 10:27:00,
490366,18071,147.0,227.25,2009-05-12 10:31:00,
490367,16593,8.0,79.6,2009-05-12 10:44:00,
490368,14238,18.0,159.1,2009-05-12 10:58:00,
490369,15223,44.0,230.2,2009-05-12 11:19:00,
490370,17593,177.0,452.95,2009-05-12 12:01:00,
490371,13021,185.0,233.70999999999998,2009-05-12 12:02:00,
490372,17115,95.0,434.15,2009-05-12 12:13:00,
490373,17850,146.0,502.54,2009-05-12 12:28:00,
490374,14239,65.0,136.75,2009-05-12 12:36:00,
490375,13999,185.0,350.55,2009-05-12 12:42:00,
490376,13958,389.0,796.5500000000001,2009-05-12 13:12:00,
490377,13958,12.0,15.0,2009-05-12 13:13:00,
490378,13641,134.0,224.1,2009-05-12 13:17:00,
490380,17850,142.0,478.74,2009-05-12 13:26:00,
490381,15420,141.0,97.11,2009-05-12 13:29:00,
490382,12359,397.0,760.69,2009-05-12 13:32:00,
490383,12820,50.0,148.3,2009-05-12 13:37:00,
490385,16410,348.0,130.32,2009-05-12 14:51:00,
490386,15240,473.0,549.77,2009-05-12 14:57:00,
490387,17850,130.0,450.84000000000003,2009-05-12 14:59:00,
490388,16158,84.0,146.62,2009-05-12 15:00:00,
490389,15484,611.0,689.5,2009-05-12 15:18:00,
490390,14709,104.0,256.2,2009-05-12 15:26:00,
490391,15057,100.0,304.1,2009-05-12 15:27:00,
490392,14867,56.0,203.32,2009-05-12 15:47:00,
490393,17642,281.0,281.02,2009-05-12 16:01:00,
490394,17850,260.0,870.2800000000001,2009-05-12 16:01:00,
490395,13813,165.0,247.15,2009-06-12 10:16:00,
490396,13589,77.0,269.15,2009-06-12 10:26:00,
490397,12417,140.0,279.1,2009-06-12 10:30:00,
490398,17920,236.0,567.71,2009-06-12 10:37:00,
490399,12975,115.0,441.63,2009-06-12 10:38:00,
490400,16104,183.0,689.9,2009-06-12 10:41:00,
490401,17150,49.0,139.25,2009-06-12 10:51:00,
490403,17920,135.0,291.09,2009-06-12 11:13:00,
490404,16277,33.0,188.69,2009-06-12 11:27:00,
490405,17244,57.0,260.65,2009-06-12 11:27:00,
490408,17850,128.0,413.44,2009-06-12 11:33:00,
490430,15260,83.0,253.55,2009-06-12 11:45:00,
490458,12583,384.0,745.4399999999999,2009-06-12 11:57:00,
490459,15555,414.0,947.39,2009-06-12 11:58:00,
490461,13736,380.0,710.84,2009-06-12 12:07:00,
490463,14133,50.0,305.5,2009-06-12 12:10:00,
490464,15571,43.0,118.25999999999999,2009-06-12 12:10:00,
490465,13448,466.0,918.35,2009-06-12 12:14:00,
490466,17085,79.0,183.6,2009-06-12 12:16:00,
490467,15059,169.0,280.94,2009-06-12 12:17:00,
490468,14468,164.0,204.24,2009-06-12 12:21:00,
490470,16395,166.0,242.96,2009-06-12 12:26:00,
490471,15878,71.0,212.13,2009-06-12 12:28:00,
490472,16485,340.0,619.24,2009-06-12 12:28:00,
490473,15860,185.0,204.65,2009-06-12 12:31:00,
490474,13373,336.0,748.42,2009-06-12 12:34:00,
490476,14608,98.0,211.62,2009-06-12 12:34:00,
490477,17850,158.0,533.14,2009-06-12 12:41:00,
490478,14896,128.0,298.25,2009-06-12 12:42:00,
490479,16779,778.0,1450.2,2009-06-12 12:42:00,
490481,16964,5.0,21.25,2009-06-12 12:51:00,
490482,15983,147.0,289.3,2009-06-12 12:52:00,
490483,13782,28.0,132.4,2009-06-12 12:52:00,
490484,16964,44.0,186.6,2009-06-12 12:53:00,
490485,14454,63.0,125.94,2009-06-12 12:56:00,
490486,16779,72.0,90.0,2009-06-12 13:00:00,
490487,14717,32.0,81.3,2009-06-12 13:05:00,
490488,16718,503.0,647.82,2009-06-12 13:07:00,
490489,15751,87.0,266.19,2009-06-12 13:08:00,
490490,14546,312.0,546.48,2009-06-12 13:10:00,
490491,17848,85.0,175.20000000000002,2009-06-12 13:19:00,
490493,15751,3.0,12.75,2009-06-12 13:21:00,
490494,17561,80.0,189.7,2009-06-12 13:29:00,
490496,15547,335.0,666.61,2009-06-12 13:40:00,
490499,17406,356.0,406.70000000000005,2009-06-12 13:45:00,
490500,14479,188.0,355.13,2009-06-12 13:48:00,
490501,16710,422.0,283.14,2009-06-12 13:49:00,
